,Tracking Nos.,Client Nos.,Comments
43,70191640000164106484,303.02,Form 4868; Stack 3
7,9114902200852116737802,442.02,Stack 1
82,70192280000060192269,468.02,Form 4868; Stack 4
71,70191640000164105715,2109.02,Form 4868; Stack 4
3,9114902200789659710238,2541.02,Source Docs; Stack 1
25,70192280000060191101,3084.02,Form 4; Stack 2
23,70211970000045308634,3095.02,Notice FAE173; Stack 2
57,70191640000164106224,4291.02,2023 Voucher 1; Stack 3
55,70191640000164106378,4455.02,Form 4868; Stack 3
49,70191640000164106453,4457.02,Form 4868; Stack 3
93,70192280000060192085,5842.02,Form 1040ES April Payment; Stack 4
92,70192280000060192115,5842.02,Form 4868; Stack 4
26,70192280000060191941,5844.02,1040ES April Payment; Stack 2
100,70192280000060191989,5844.02,Form 4868; Stack 4
48,70191640000164106460,8012.02,Form 4868; Stack 3
10,70211970000045308191,8104.201,Notice Form 706; Here before me
99,70192280000060191996,9568.02,Form 4868; Stack 4
102,70192280000060190906,9941.02,2023 1040V; Stack 4
104,70191640000164105944,12690.02,Form 4868; Stack 4
35,70211970000045308269,12716.02,1040ES 4th Qtr; Stack 2
86,70192280000060192184,15305.02,Form 4868; Stack 4
28,70191640000164105913,17335.2,Form 4868; Stack 2
11,70211970000045307835,17679.02,2023 TFTR; Here before me
34,70191640000164105234,18549.5256,Form 7004; Stack 2
80,70192280000060192283,18994.02,Form 1040ES; Stack 4
52,70191640000164106415,19792.201,Form 4868; Stack 3
77,70192280000060192320,20357.02,Form 4868; Stack 4
79,70192280000060192290,21251.02,Form 1040ES V1; Stack 4
76,70192280000060192313,21251.02,Form 4868; Stack 4
8,9114901230803154971622,21965.02,Stack 1
15,70211970000045307965,22317.02,Notice CP126A; Here before me
12,70211970000045309723,22819.02,2022 Tax Notice CP23; Here before me
21,70211970000045302946,22968.202,Form 56; Slip Only
96,70192280000060192030,23005.02,Form 4868; Stack 4
5,9114902200789659810290,23126.02,Stack 1
2,9114902200789659810412,23126.02,Stack 1
42,70191640000164106477,24720.02,Form 4868; Stack 3
87,70192280000060192160,24728.02,Form 4868; Stack 4
6,9114902200789659810306,25519.02,Stack 1
30,70192280000060190616,25938.02,Form 7004N Ext; Stack 2
67,70191640000164106019,27852.02,Form 4868; Stack 3
9,9114902200852453171765,28948.02,Stack 1
16,9589071052701128330083,29491.02,1040ES Voucher 2; Here before me
44,70191640000164106521,30125.02,Form 4868; Stack 3
103,70192280000060190890,33905.02,2022 1040V; Stack 4
66,70192280000060192498,36021.02,Form 4868; Stack 3
62,70191640000164106101,36026.2,Form 4868; Stack 3
40,70191640000164106545,36568.02,Form 4868; Stack 2
98,70192280000060192009,36900.02,Form 4868; Stack 4
60,70191640000164106170,38491.02,Form 4868; Stack 3
0,70191640000164106422,38525.02,4868 and check payment; Stack 1
33,70211970000045308283,39919.02,1040ES 4th Qtr; Stack 2
31,70192280000060190173,40345.02,Response to L1195057936; Stack 2
84,70192280000060192214,40622.02,Form 4868; Stack 4
95,70192280000060192061,40955.02,Form 4868; Stack 4
63,70191640000164106095,42649.02,Form 4868; Stack 3
90,70192280000060192351,45930.02,Form 4868; Stack 4
54,70191640000164106361,46065.02,Form 4868; Stack 3
