Tracking Nos.,Client Nos.,Comments
9589071052701128330182,12710.02,1040ES Voucher 2
9114902200852144849263,14300.02,Source Docs
70211970000045302830,48685.02,Copies of 105C Letter and Form 2848
9589071052701128331486,25106.02,2nd TFTR Ext
70211970000045303103,05846.02,LA Tax Voucher Payment
9114901230803154974593,22358.02,Source Docs
9114901230803154974852,34514.02,Form 1040 and Source Docs
70211970000045302830,,Copies of 105CLetter and 2848; no Receipt
9114901230803154974937,50598.02,Copy of Letter 3174-A to client
9589071052701128331769,02921.02,Response to Notice CP162A
9589071052701128331745,35217.02,Response to Notice CP282
9589071052701128331752,35217.02,Response to Notice CP162A
958907105270112831639,06602.02,Butler Co. Occupational
9114901230801247550051,91280.02,Source Docs
9114901230801247550150,19683.02,Source Docs
9114901230801247550358,31862.02,Source Docs
9589071052701129248684,73876.02,2023 Form 1120H
70212720000008510283,37455.02,2023 Form 1040
9589017052701129248738,99313.02,2024 Voucher 3
9114901230801247551119,45781.02,Source Docs
9589071052701129248851,50524.02,Medicare Adjustment
9589071052701129248950,01031.02,Form 8854
9114901230801247551256,22955.02,Source Docs
70211970000045303417,91306.200,2023 Form 1040
9589071052701129249063,52955.200,2023 Form 1040V
9589071052701129249056,52955.02,2023 Form 1040
9589071052701129249049,52955.02,LA Return IT-540B
9589071052701129249452,21985.02,Form 1120POL
9589071052701129249445,21980.02,Form 3520
70211970000045303400,52385.02,2023 Form 709
9589071052701129249032,26540.02,TFTR Form 05-102
9589071052701129249001,05842.02,LA ES Oct Payment
9589071052701129248998,05844.02,LA ES Oct Payment
9589071052701128332315,05842.02,LA Form 2023 E
9114901230801247551300,38150.02,Additional Source Docs
9114901230801247551317,01499.02,Source Docs
9114901230801247551416,55586.02,Source Docs
9589071052701129253008,16391.201,Ky Form 720 2023
9589071052701129252988,16932.02,2023 NM Form CIT-1
9589071052701129252971,16932.02,2023 NE Form 1120N
9589071052701129252940,63040.02,2023 Form 709
70212720000008510306,12013.02,2023 Form 709
9589071052701129248974,76456.02,2023 Form 1040
9114901230801247551218,89722.02,Source Docs
9114901230801247551577,54156.02,Add'l Source Docs
70212720000008510313,71289.02,2023 Resp. to Not. CP161
70212720000008510344,00283.02,2023 Form 1040V
70212720000008510320,00283.02,2023 Form 1040
